aisle,aisleid,item,price
Beverages,1,"Apple Juice",2.79
Beverages,1,"Beer, bottle, pilsener, import",3.63
Beverages,1,"Beer, can",1.59
Beverages,1,Coffee,4.82
Beverages,1,Milk,1.11
Beverages,1,"Milk, organic",2.34
Beverages,1,"Orange Juice, not from concentrate",6.63
Beverages,1,"Soda, bottle",2.38
Beverages,1,"Soda, bottle (Coke product)",3.13
Beverages,1,"Soda, can",0.14
Beverages,1,"Soda, can (Coke product)",5.09
Beverages,1,"Tea, green, bags",4.97
Beverages,1,"Water, regular/drinking",8.81
Beverages,1,"Water, Sparkling/Mineral",7.72
Beverages,1,"Wine, table, Cabernet",0.31
Beverages,1,"Wine, table, Chardonnay",6.89
Beverages,1,"Wine, table, White Zinfandel",9.89
"Canned & Packaged Foods",2,"Apple Sauce",7.51
"Canned & Packaged Foods",2,"Barbeque Sauce",3.94
"Canned & Packaged Foods",2,"Bread Crumbs",4.04
"Canned & Packaged Foods",2,"Cheery Pie Filling",5.93
"Canned & Packaged Foods",2,"Chicken Noodle Soup, condensed",7.73
"Canned & Packaged Foods",2,"Chicken Noodle Soup, regular",2.39
"Canned & Packaged Foods",2,"Chips, potato chips",4.74
"Canned & Packaged Foods",2,"Coconut Milk",7.79
"Canned & Packaged Foods",2,"Flour, all purpose",5.34
"Canned & Packaged Foods",2,"Flour, self rising",1.24
"Canned & Packaged Foods",2,"Green Beans, canned",4.03
"Canned & Packaged Foods",2,Honey,3.24
"Canned & Packaged Foods",2,"Jalopeño Peppers, canned",3.24
"Canned & Packaged Foods",2,Ketchup,5.03
"Canned & Packaged Foods",2,"Mandarin Oranges, canned",2.48
"Canned & Packaged Foods",2,Mayonnaise,8.56
"Canned & Packaged Foods",2,"Milk Chocolate Bar",0.77
"Canned & Packaged Foods",2,"Mushrooms, stems/pieces",5.33
"Canned & Packaged Foods",2,"Mustard, dijon",6.88
"Canned & Packaged Foods",2,"Mustard, yellow",5.44
"Canned & Packaged Foods",2,Nutella,8.69
"Canned & Packaged Foods",2,"Oil, Canola, 100% pure",6.25
"Canned & Packaged Foods",2,"Oil, Olive, 100% pure",2.79
"Canned & Packaged Foods",2,"Oil, Olive, extra virgin",2.57
"Canned & Packaged Foods",2,"Pasta, Egg Noodles",7.17
"Canned & Packaged Foods",2,"Pasta, Ellbow Maccaroni",8.94
"Canned & Packaged Foods",2,"Pasta, Penne Rigate",5.45
"Canned & Packaged Foods",2,"Pasta, Rotini/Rotelle/Fusilli",2.48
"Canned & Packaged Foods",2,"Pasta, Spaghetti",1.36
"Canned & Packaged Foods",2,"Peanut Butter",3.84
"Canned & Packaged Foods",2,"Peanuts, roasted",7.64
"Canned & Packaged Foods",2,"Pepper, black, ground",4.93
"Canned & Packaged Foods",2,Preserves,4.35
"Canned & Packaged Foods",2,Pretzels,6.99
"Canned & Packaged Foods",2,"Rice, instant, white",8.06
"Canned & Packaged Foods",2,"Rice, regular",1.68
"Canned & Packaged Foods",2,"Salad Dressing",3.76
"Canned & Packaged Foods",2,"Salsa, medium hot",7.23
"Canned & Packaged Foods",2,Salt,2.11
"Canned & Packaged Foods",2,"Soup, organic",6.2
"Canned & Packaged Foods",2,"Spaghetti Sauce",9.04
"Canned & Packaged Foods",2,"Sugar, brown",9.94
"Canned & Packaged Foods",2,"Sugar, powdered",3.82
"Canned & Packaged Foods",2,"Sugar, white",8.25
"Canned & Packaged Foods",2,"Syrup, breakfast",1.2
"Canned & Packaged Foods",2,"Tomato Paste",7.32
"Canned & Packaged Foods",2,"Tomato Sauce",9.07
"Canned & Packaged Foods",2,"Tomato Soup, condensed",1.69
"Canned & Packaged Foods",2,"Tomato Soup, regular",4.24
"Canned & Packaged Foods",2,"Tuna, chunky, in water",8.57
"Canned & Packaged Foods",2,"Tuna, solid, in water",8.79
"Canned & Packaged Foods",2,"Vanilla Extract, pure",8.68
"Bakery, Breakfast, Cereal",3,"Bagles, plain",1.42
"Bakery, Breakfast, Cereal",3,"Baguette/French Bread",5.83
"Bakery, Breakfast, Cereal",3,"Bread, 12 grain",9.56
"Bakery, Breakfast, Cereal",3,"Cereal, Müsli style",7.98
"Bakery, Breakfast, Cereal",3,"Cocoa Rice Cereal",5.33
"Bakery, Breakfast, Cereal",3,"Corn Flakes, regular",3.8
"Bakery, Breakfast, Cereal",3,"Corn Flakes, sugar frosted",3.0
"Bakery, Breakfast, Cereal",3,Croissants,4.0
"Bakery, Breakfast, Cereal",3,"Granola Bars, high fiber",1.22
"Bakery, Breakfast, Cereal",3,"Granola Bars, regular",8.42
"Bakery, Breakfast, Cereal",3,"Honey Crunch Oats",3.65
"Bakery, Breakfast, Cereal",3,"Hot Dog Buns",9.9
"Bakery, Breakfast, Cereal",3,"Oat Meal",7.97
"Bakery, Breakfast, Cereal",3,"White Bread/Toast, enriched",8.88
"Frozen Foods",4,"Breakfast Sausage, frozen",4.54
"Frozen Foods",4,"Chicken Breasts, frozen",1.34
"Frozen Foods",4,"Chicken Nuggets, frozen",3.54
"Frozen Foods",4,"Chicken Tenderloins, frozen",8.53
"Frozen Foods",4,"Fish, Flounder, frozen",0.73
"Frozen Foods",4,"Fish, Mahi Mahi, frozen",1.18
"Frozen Foods",4,"Fish, Tilapia, frozen",9.22
"Frozen Foods",4,"French Fries, frozen",3.33
"Frozen Foods",4,"Fruit, frozen",2.36
"Frozen Foods",4,"Ground Beef, frozen",6.88
"Frozen Foods",4,"Ground Turkey, frozen",1.94
"Frozen Foods",4,"Ice Cream, premium",0.24
"Frozen Foods",4,"Ice Cream, simple",7.63
"Frozen Foods",4,"Pizza, frozen (premium)",2.52
"Frozen Foods",4,"Pizza, frozen (simple)",6.65
"Frozen Foods",4,"Veggies, frozen",6.75
"Frozen Foods",4,"Waffles, frozen",8.42
"Miscellaneous Kitchen Items",5,"Aluminum Foil",5.19
"Miscellaneous Kitchen Items",5,"Paper Towles",5.95
"Miscellaneous Kitchen Items",5,"Plastic Wrap",6.94
Produce,1,"Apples, Gala, bag",6.34
Produce,1,"Apples, Red/Golden Delicious, bag",6.56
Produce,1,"Carrots, whole",6.28
Produce,1,"Grapes, red",8.39
Produce,1,Lemons,6.95
Produce,1,"Lettuce, iceberg",9.3
Produce,1,"Mushrooms, whole",2.96
Produce,1,"Onions, yellow",2.86
Produce,1,Oranges,9.3
Produce,1,Pears,8.41
Produce,1,"Potatoes, gold (Yukon)",0.29
Produce,1,"Potatoes, red",7.21
Produce,1,"Potatoes, Russet",2.17
Produce,1,Tomatoes,1.04
"Refrigerated Foods",7,Bacon,6.92
"Refrigerated Foods",7,"Beef Stew Meat",0.69
"Refrigerated Foods",7,"Brats, 4-6 pack",5.89
"Refrigerated Foods",7,"Butter, real, unsalted/salted",3.05
"Refrigerated Foods",7,"Cheese Singles (imitation)",4.41
"Refrigerated Foods",7,"Cheese, block (regular)",2.7
"Refrigerated Foods",7,"Cheese, Boursin",1.41
"Refrigerated Foods",7,"Cheese, Brie",4.22
"Refrigerated Foods",7,"Cheese, shredded, Mexican style",3.25
"Refrigerated Foods",7,"Cheese, shredded, Mozarella",3.52
"Refrigerated Foods",7,"Cheese, sliced, deli",9.06
"Refrigerated Foods",7,"Cheese, sliced, regular",5.47
"Refrigerated Foods",7,"Cheese, wedge (real, deli)",7.38
"Refrigerated Foods",7,"Chocolate Chip Cookie Dough",6.81
"Refrigerated Foods",7,"Cold Cuts, ham or chicken",3.09
"Refrigerated Foods",7,"Cold Cuts, turkey variety",7.89
"Refrigerated Foods",7,"Cottage Cheese",8.28
"Refrigerated Foods",7,"Cream Cheese",1.05
"Refrigerated Foods",7,"Cream, heavy whipping",7.15
"Refrigerated Foods",7,"Eggs, cage free",2.18
"Refrigerated Foods",7,"Eggs, regular",8.29
"Refrigerated Foods",7,"Ground Beef (chuck), fresh",4.59
"Refrigerated Foods",7,"Ground Beef (sirloin), fresh",3.3
"Refrigerated Foods",7,"Ground Turkey, fresh",7.15
"Refrigerated Foods",7,"Ham, half",5.77
"Refrigerated Foods",7,Kielbasa,6.59
"Refrigerated Foods",7,Margarine/Spread,9.72
"Refrigerated Foods",7,"Pancetta, diced",5.62
"Refrigerated Foods",7,"Pizza Dough",7.31
